            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451684.500000000, A.D. 2000-May-20 00:00:00.0000,  1.716368323275723E+01, -2.474508500835330E+01,  1.140237578237094E-01,  2.559291677917980E-03,  1.806971394982857E-03, -9.656787322219662E-05,  1.739307922841276E-01,  3.011518314077487E+01, -2.649162532261825E-05,
2451694.500000000, A.D. 2000-May-30 00:00:00.0000,  1.718926277168652E+01, -2.472700065281013E+01,  1.130619989376441E-01,  2.557311977964642E-03,  1.810224145916338E-03, -9.595469915681186E-05,  1.739292430066237E-01,  3.011491489169054E+01, -2.702829785213960E-05,
2451704.500000000, A.D. 2000-Jun-09 00:00:00.0000,  1.721482468428387E+01, -2.470888954686289E+01,  1.120993353705374E-01,  2.554759780780217E-03,  1.812396542467460E-03, -9.597834037682308E-05,  1.739276971238617E-01,  3.011464723038757E+01, -2.700756705857262E-05,
2451714.500000000, A.D. 2000-Jun-19 00:00:00.0000,  1.724036812444553E+01, -2.469075064618777E+01,  1.111373527566306E-01,  2.553415980267691E-03,  1.814812226200586E-03, -9.660835767800105E-05,  1.739261469469041E-01,  3.011437882556765E+01, -2.649835395454477E-05,
2451724.500000000, A.D. 2000-Jun-29 00:00:00.0000,  1.726589171944108E+01, -2.467258547012989E+01,  1.101755504161845E-01,  2.551914104482408E-03,  1.818158935184890E-03, -9.623794215578468E-05,  1.739245951270204E-01,  3.011411013628392E+01, -2.683832216566084E-05,
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.729139706397679E+01, -2.465439420221209E+01,  1.092126451532544E-01,  2.549292154378899E-03,  1.820700565829080E-03, -9.585993438974078E-05,  1.739230477766920E-01,  3.011384222087968E+01, -2.716078910469190E-05,
2451744.500000000, A.D. 2000-Jul-19 00:00:00.0000,  1.731688450202430E+01, -2.463617526238619E+01,  1.082499088219212E-01,  2.547492987021889E-03,  1.822788587782014E-03, -9.648713543668076E-05,  1.739214986050019E-01,  3.011357399011646E+01, -2.664386541355203E-05,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000,  1.734235215960601E+01, -2.461792946314283E+01,  1.072878658041805E-01,  2.546314818503613E-03,  1.825948107065022E-03, -9.652038046912588E-05,  1.739199452531777E-01,  3.011330503558544E+01, -2.664366717807840E-05,
2451764.500000000, A.D. 2000-Aug-08 00:00:00.0000,  1.736780074182127E+01, -2.459965794728926E+01,  1.063249329643100E-01,  2.543935138310332E-03,  1.828913465325107E-03, -9.590428500600095E-05,  1.739183954211418E-01,  3.011303669048688E+01, -2.717374886440751E-05,
2451774.500000000, A.D. 2000-Aug-18 00:00:00.0000,  1.739323162691500E+01, -2.458135926704808E+01,  1.053615366611943E-01,  2.541646650616113E-03,  1.830917218653342E-03, -9.627117882984111E-05,  1.739168468811988E-01,  3.011276856910727E+01, -2.686994088518474E-05,
2451784.500000000, A.D. 2000-Aug-28 00:00:00.0000,  1.741864321123501E+01, -2.456303319643800E+01,  1.043990075108545E-01,  2.540496987501523E-03,  1.833685271670966E-03, -9.669864571325678E-05,  1.739152932651280E-01,  3.011249956882337E+01, -2.653239848724764E-05,
2451794.500000000, A.D. 2000-Sep-07 00:00:00.0000,  1.744403500414445E+01, -2.454468136833995E+01,  1.034361250591649E-01,  2.538565601054075E-03,  1.836951775809686E-03, -9.610619954997969E-05,  1.739137406002147E-01,  3.011223073322729E+01, -2.704913100734044E-05,
2451804.500000000, A.D. 2000-Sep-17 00:00:00.0000,  1.746940883003517E+01, -2.452630308026367E+01,  1.024722921147134E-01,  2.535955214966472E-03,  1.839150372855139E-03, -9.606313929451287E-05,  1.739121916660430E-01,  3.011196254358910E+01, -2.709105521788667E-05,
2451814.500000000, A.D. 2000-Sep-27 00:00:00.0000,  1.749476401385558E+01, -2.450789716996987E+01,  1.015090894567908E-01,  2.534525267595580E-03,  1.841486102224691E-03, -9.671022857261315E-05,  1.739106387830082E-01,  3.011169367022645E+01, -2.656268908403940E-05,
2451824.500000000, A.D. 2000-Oct-07 00:00:00.0000,  1.752009906281783E+01, -2.448946508631077E+01,  1.005461703602002E-01,  2.533059772125893E-03,  1.844803931257160E-03, -9.639384141452585E-05,  1.739090837536550E-01,  3.011142442524030E+01, -2.685011994482315E-05,
2451834.500000000, A.D. 2000-Oct-17 00:00:00.0000,  1.754541547303425E+01, -2.447100717374301E+01,  9.958216427420945E-02,  2.530428298040423E-03,  1.847392240523805E-03, -9.596370799173650E-05,  1.739075331873409E-01,  3.011115595300541E+01, -2.722211102575844E-05,
2451844.500000000, A.D. 2000-Oct-27 00:00:00.0000,  1.757071376813280E+01, -2.445252182710367E+01,  9.861824135821762E-02,  2.528524488237442E-03,  1.849431135216799E-03, -9.656510556829211E-05,  1.739059813459369E-01,  3.011088725999554E+01, -2.672781565743833E-05,
2451854.500000000, A.D. 2000-Nov-06 00:00:00.0000,  1.759599206562039E+01, -2.443400971377787E+01,  9.765507423269448E-02,  2.527344451867015E-03,  1.852524026583957E-03, -9.666261033361765E-05,  1.739044250443157E-01,  3.011061779472302E+01, -2.666490399761774E-05,
2451864.500000000, A.D. 2000-Nov-16 00:00:00.0000,  1.762125089651115E+01, -2.441547208944596E+01,  9.669109269207525E-02,  2.524996826712807E-03,  1.855529398062477E-03, -9.603049856694967E-05,  1.739028719224416E-01,  3.011034888000662E+01, -2.721021035801571E-05,
2451874.500000000, A.D. 2000-Nov-26 00:00:00.0000,  1.764649175229078E+01, -2.439690758463668E+01,  9.572656710339458E-02,  2.522618131712955E-03,  1.857527146930529E-03, -9.633953572906402E-05,  1.739013206147820E-01,  3.011008027941172E+01, -2.696041756331265E-05,
2451884.500000000, A.D. 2000-Dec-06 00:00:00.0000,  1.767171313598556E+01, -2.437831581431048E+01,  9.476290859905177E-02,  2.521418164646980E-03,  1.860210161307154E-03, -9.681466209207032E-05,  1.738997642986229E-01,  3.010981081162204E+01, -2.657561469953282E-05,
2451894.500000000, A.D. 2000-Dec-16 00:00:00.0000,  1.769691438026099E+01, -2.435969842905799E+01,  9.379900455225296E-02,  2.519535332449157E-03,  1.863484336560879E-03, -9.624893955609866E-05,  1.738982084096634E-01,  3.010954141779966E+01, -2.706595404136098E-05,
2451904.500000000, A.D. 2000-Dec-26 00:00:00.0000,  1.772209730915307E+01, -2.434105487556088E+01,  9.283411271132436E-02,  2.516874797875416E-03,  1.865713382437376E-03, -9.614000025154341E-05,  1.738966565343908E-01,  3.010927271892564E+01, -2.716959723104186E-05,
2451914.500000000, A.D. 2001-Jan-05 00:00:00.0000,  1.774726142502638E+01, -2.432238388515316E+01,  9.186979292040866E-02,  2.515354665579243E-03,  1.867972492497020E-03, -9.679768465733147E-05,  1.738951011031874E-01,  3.010900340436127E+01, -2.662924425631356E-05,
