            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451684.500000000, A.D. 2000-May-20 00:00:00.0000,  5.778022956394647E+00,  7.083574514745066E+00, -3.531543917078128E-01, -4.614221639870048E-03,  3.514758192758365E-03,  1.225220441888919E-04,  5.283488086050595E-02,  9.148076038979553E+00, -1.975602510990317E-04,
2451694.500000000, A.D. 2000-May-30 00:00:00.0000,  5.731764413076070E+00,  7.118592114333107E+00, -3.519257703067832E-01, -4.637898656634082E-03,  3.487704372628306E-03,  1.237766816304646E-04,  5.282352615355721E-02,  9.146110032415793E+00, -1.967347675769365E-04,
2451704.500000000, A.D. 2000-Jun-09 00:00:00.0000,  5.685283746134935E+00,  7.153327704819335E+00, -3.506804555873860E-01, -4.658812603146313E-03,  3.460462691262334E-03,  1.247904232188202E-04,  5.281222050456124E-02,  9.144152519973238E+00, -1.942891357774844E-04,
2451714.500000000, A.D. 2000-Jun-19 00:00:00.0000,  5.638577371347462E+00,  7.187789551021540E+00, -3.494230325653785E-01, -4.681216299504841E-03,  3.431434451821098E-03,  1.268049475917961E-04,  5.280099076020302E-02,  9.142208150011314E+00, -1.941850523590965E-04,
2451724.500000000, A.D. 2000-Jun-29 00:00:00.0000,  5.591658462185825E+00,  7.221972445955688E+00, -3.481527703485722E-01, -4.703657186406303E-03,  3.404606608713455E-03,  1.276213365313734E-04,  5.278986172123050E-02,  9.140281216646395E+00, -1.923027390897555E-04,
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  5.544517978877199E+00,  7.255870340082408E+00, -3.468663107944569E-01, -4.724004646259874E-03,  3.376071291967460E-03,  1.290497720472548E-04,  5.277877415495300E-02,  9.138361464056031E+00, -1.904888710391605E-04,
2451744.500000000, A.D. 2000-Jul-19 00:00:00.0000,  5.497160977901059E+00,  7.289491876686245E+00, -3.455692470724799E-01, -4.746761948526215E-03,  3.347200246619009E-03,  1.308249128785909E-04,  5.276778823517084E-02,  9.136459311010755E+00, -1.903948296467346E-04,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000,  5.449595143111587E+00,  7.322825969228712E+00, -3.442572378337785E-01, -4.767677736207951E-03,  3.319929015998837E-03,  1.315311324082475E-04,  5.275688007619671E-02,  9.134570621832028E+00, -1.878502708204746E-04,
2451764.500000000, A.D. 2000-Aug-08 00:00:00.0000,  5.401810531581751E+00,  7.355874453572787E+00, -3.429308791594857E-01, -4.788072528211358E-03,  3.290260592707603E-03,  1.333610233353253E-04,  5.274602513397220E-02,  9.132691146847865E+00, -1.869383684284025E-04,
2451774.500000000, A.D. 2000-Aug-18 00:00:00.0000,  5.353819092193168E+00,  7.388641023999043E+00, -3.415938763757631E-01, -4.810455569113364E-03,  3.261920051915120E-03,  1.346377218062238E-04,  5.273528393417024E-02,  9.130831365753675E+00, -1.860886384510369E-04,
2451784.500000000, A.D. 2000-Aug-28 00:00:00.0000,  5.305619744394384E+00,  7.421113779052845E+00, -3.402406072202697E-01, -4.830099807208083E-03,  3.233651030258236E-03,  1.355462910528957E-04,  5.272459716541265E-02,  9.128981009102667E+00, -1.835362608296053E-04,
2451794.500000000, A.D. 2000-Sep-07 00:00:00.0000,  5.257207820415537E+00,  7.453300557957826E+00, -3.388752809857764E-01, -4.850996178752692E-03,  3.203383334475826E-03,  1.375479279775320E-04,  5.271398816072634E-02,  9.127144116883217E+00, -1.833572281596608E-04,
2451804.500000000, A.D. 2000-Sep-17 00:00:00.0000,  5.208596945416586E+00,  7.485197337614035E+00, -3.374977721745332E-01, -4.872224947215608E-03,  3.175320106848795E-03,  1.383835612869545E-04,  5.270348489168684E-02,  9.125325532223494E+00, -1.815017453770931E-04,
2451814.500000000, A.D. 2000-Sep-27 00:00:00.0000,  5.159778860868979E+00,  7.516797096040529E+00, -3.361042470787226E-01, -4.891124376966138E-03,  3.145754552280562E-03,  1.397061060233402E-04,  5.269302704898151E-02,  9.123514812889717E+00, -1.795445430718248E-04,
2451824.500000000, A.D. 2000-Oct-07 00:00:00.0000,  5.110757463705705E+00,  7.548108921886544E+00, -3.347003648007578E-01, -4.912362989617964E-03,  3.115608822898790E-03,  1.414997992818669E-04,  5.268267333390606E-02,  9.121722122696163E+00, -1.793851065423723E-04,
2451834.500000000, A.D. 2000-Oct-17 00:00:00.0000,  5.061541632781955E+00,  7.579122447330341E+00, -3.332822220427278E-01, -4.932061258285855E-03,  3.087290701628435E-03,  1.421420957401406E-04,  5.267240351569226E-02,  9.119943958793902E+00, -1.767831663107940E-04,
2451844.500000000, A.D. 2000-Oct-27 00:00:00.0000,  5.012121182411956E+00,  7.609838432995536E+00, -3.318497848382175E-01, -4.950960307645243E-03,  3.056569780322764E-03,  1.438886076094761E-04,  5.266218960837879E-02,  9.118175475563945E+00, -1.757544863626792E-04,
2451854.500000000, A.D. 2000-Nov-06 00:00:00.0000,  4.962507428072212E+00,  7.640261612316180E+00, -3.304071823780136E-01, -4.971938318243818E-03,  3.026896126905654E-03,  1.452408541942712E-04,  5.265209288328743E-02,  9.116427281806788E+00, -1.749579221587792E-04,
2451864.500000000, A.D. 2000-Nov-16 00:00:00.0000,  4.912700767695460E+00,  7.670379930410824E+00, -3.289488077014995E-01, -4.990192018695409E-03,  2.997652049169248E-03,  1.460464672015410E-04,  5.264205621227308E-02,  9.114689486090734E+00, -1.722748601080916E-04,
2451874.500000000, A.D. 2000-Nov-26 00:00:00.0000,  4.862695544445617E+00,  7.700200735232088E+00, -3.274784673691911E-01, -5.009483732533807E-03,  2.966326793413462E-03,  1.479716235020363E-04,  5.263209969930438E-02,  9.112965569310054E+00, -1.719242741724916E-04,
2451884.500000000, A.D. 2000-Dec-06 00:00:00.0000,  4.812505578251396E+00,  7.729721259653855E+00, -3.259966516656467E-01, -5.029452660146514E-03,  2.937072356073127E-03,  1.488390898754337E-04,  5.262225413546381E-02,  9.111260862775405E+00, -1.701234789463072E-04,
2451894.500000000, A.D. 2000-Dec-16 00:00:00.0000,  4.762123520978170E+00,  7.758933554322894E+00, -3.244990843089202E-01, -5.046890648767446E-03,  2.906531739225759E-03,  1.500678633386588E-04,  5.261245822111755E-02,  9.109564752784214E+00, -1.680680640517605E-04,
2451904.500000000, A.D. 2000-Dec-26 00:00:00.0000,  4.711552108069266E+00,  7.787846972361073E+00, -3.229913931135217E-01, -5.066503291335640E-03,  2.875204998749136E-03,  1.518633033715874E-04,  5.260276882606221E-02,  9.107887086036524E+00, -1.678202906872425E-04,
