            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451684.500000000, A.D. 2000-May-20 00:00:00.0000,  1.479376458228998E+01, -1.336035434919197E+01, -2.413174070184994E-01,  2.607227608593806E-03,  2.736003668241126E-03, -2.361694320444835E-05,  1.151361961748869E-01,  1.993521439421007E+01,  1.014502319913005E-04,
2451694.500000000, A.D. 2000-May-30 00:00:00.0000,  1.481980933117757E+01, -1.333296938539315E+01, -2.415530543560504E-01,  2.601749017078347E-03,  2.740956096927430E-03, -2.369046051861473E-05,  1.151420477032565E-01,  1.993622755494021E+01,  1.012259280837180E-04,
2451704.500000000, A.D. 2000-Jun-09 00:00:00.0000,  1.484579833292097E+01, -1.330553452286446E+01, -2.417878013303159E-01,  2.596156809282111E-03,  2.745948066379269E-03, -2.356896159440284E-05,  1.151478805566775E-01,  1.993723748220322E+01,  1.008872129470573E-04,
2451714.500000000, A.D. 2000-Jun-19 00:00:00.0000,  1.487173161564947E+01, -1.327804991787026E+01, -2.420217885144493E-01,  2.590592382859411E-03,  2.750945599451284E-03, -2.326894043109979E-05,  1.151536954004814E-01,  1.993824429119772E+01,  1.005621765822411E-04,
2451724.500000000, A.D. 2000-Jun-29 00:00:00.0000,  1.489760967847763E+01, -1.325051579650284E+01, -2.422549324258378E-01,  2.584953736787334E-03,  2.755911135852018E-03, -2.322015077125926E-05,  1.151594951852872E-01,  1.993924849280750E+01,  1.002050285391336E-04,
2451734.500000000, A.D. 2000-Jul-09 00:00:00.0000,  1.492343215149276E+01, -1.322293215087777E+01, -2.424868286095922E-01,  2.579477184013266E-03,  2.760835952299591E-03, -2.311436029902590E-05,  1.151652781986738E-01,  1.994024979053607E+01,  9.999429364493953E-05,
2451744.500000000, A.D. 2000-Jul-19 00:00:00.0000,  1.494919876321580E+01, -1.319529908568359E+01, -2.427177122536114E-01,  2.574085656700057E-03,  2.765722331255252E-03, -2.306097026375677E-05,  1.151710436238129E-01,  1.994124804295400E+01,  9.987248884020351E-05,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000,  1.497490945796346E+01, -1.316761679796123E+01, -2.429481502206726E-01,  2.568363638260970E-03,  2.770677342806500E-03, -2.293921314501103E-05,  1.151767919488802E-01,  1.994224333458626E+01,  9.945563411993260E-05,
2451764.500000000, A.D. 2000-Aug-08 00:00:00.0000,  1.500056446797828E+01, -1.313988540779624E+01, -2.431777129011199E-01,  2.562693474766326E-03,  2.775594636956272E-03, -2.291113725521241E-05,  1.151825245467211E-01,  1.994323590313370E+01,  9.910250770525344E-05,
2451774.500000000, A.D. 2000-Aug-18 00:00:00.0000,  1.502616347661196E+01, -1.311210494172600E+01, -2.434061589346195E-01,  2.557026079121851E-03,  2.780493400410128E-03, -2.292189497735809E-05,  1.151882400672885E-01,  1.994422551484288E+01,  9.876292021652555E-05,
2451784.500000000, A.D. 2000-Aug-28 00:00:00.0000,  1.505170594933645E+01, -1.308427542598246E+01, -2.436335721314074E-01,  2.551470155401195E-03,  2.785399019810984E-03, -2.261617453589442E-05,  1.151939362274494E-01,  1.994521177440160E+01,  9.849785766875636E-05,
2451794.500000000, A.D. 2000-Sep-07 00:00:00.0000,  1.507719233223786E+01, -1.305639713312816E+01, -2.438602708588132E-01,  2.545848281985589E-03,  2.790284699801525E-03, -2.246330977755572E-05,  1.151996159615956E-01,  1.994619518988402E+01,  9.819702109874857E-05,
2451804.500000000, A.D. 2000-Sep-17 00:00:00.0000,  1.510262274472236E+01, -1.302847019342611E+01, -2.440860760131291E-01,  2.540153296523498E-03,  2.795160538272489E-03, -2.239844909817025E-05,  1.152052802123410E-01,  1.994717592449872E+01,  9.784735189432374E-05,
2451814.500000000, A.D. 2000-Sep-27 00:00:00.0000,  1.512799690028206E+01, -1.300049462394150E+01, -2.443106218486279E-01,  2.534690860794014E-03,  2.799958909815523E-03, -2.243246402007259E-05,  1.152109277089867E-01,  1.994815375823096E+01,  9.772459365475211E-05,
2451824.500000000, A.D. 2000-Oct-07 00:00:00.0000,  1.515331434654294E+01, -1.297247053560454E+01, -2.445344710012700E-01,  2.529003603262170E-03,  2.804806904838232E-03, -2.237251699603839E-05,  1.152165568673905E-01,  1.994912841679505E+01,  9.739686184335300E-05,
2451834.500000000, A.D. 2000-Oct-17 00:00:00.0000,  1.517857516979915E+01, -1.294439808837815E+01, -2.447576973883254E-01,  2.523233745340709E-03,  2.809676674514494E-03, -2.218913543449948E-05,  1.152221686079370E-01,  1.995010005955063E+01,  9.698952165662849E-05,
2451844.500000000, A.D. 2000-Oct-27 00:00:00.0000,  1.520377966952500E+01, -1.291627742997860E+01, -2.449799632966436E-01,  2.517448840303214E-03,  2.814506624909416E-03, -2.222122207054317E-05,  1.152277647162663E-01,  1.995106899567171E+01,  9.659797457539304E-05,
2451854.500000000, A.D. 2000-Nov-06 00:00:00.0000,  1.522892727019579E+01, -1.288810852418044E+01, -2.452009739235237E-01,  2.511809773503986E-03,  2.819320082248427E-03, -2.204920400037423E-05,  1.152333424458309E-01,  1.995203474960833E+01,  9.632459462175774E-05,
2451864.500000000, A.D. 2000-Nov-16 00:00:00.0000,  1.525401790139073E+01, -1.285989152577552E+01, -2.454210009198547E-01,  2.506289518868413E-03,  2.824095822681179E-03, -2.186919312045433E-05,  1.152389020212684E-01,  1.995299736025529E+01,  9.616532160215658E-05,
2451874.500000000, A.D. 2000-Nov-26 00:00:00.0000,  1.527905181248131E+01, -1.283162667926823E+01, -2.456404705567450E-01,  2.500501188836189E-03,  2.828905215575096E-03, -2.177153968583697E-05,  1.152444454233979E-01,  1.995395717058077E+01,  9.577947567090812E-05,
2451884.500000000, A.D. 2000-Dec-06 00:00:00.0000,  1.530402907348688E+01, -1.280331406029594E+01, -2.458588817252731E-01,  2.494846018857334E-03,  2.833654322942596E-03, -2.180094361452998E-05,  1.152499731506040E-01,  1.995491426687738E+01,  9.553484929265421E-05,
2451894.500000000, A.D. 2000-Dec-16 00:00:00.0000,  1.532894923589534E+01, -1.277495370449370E+01, -2.460762530418776E-01,  2.489155122904167E-03,  2.838391788117145E-03, -2.188055481761018E-05,  1.152554832940517E-01,  1.995586831864063E+01,  9.526987678222313E-05,
2451904.500000000, A.D. 2000-Dec-26 00:00:00.0000,  1.535381182924907E+01, -1.274654568186224E+01, -2.462928762095341E-01,  2.483389751327527E-03,  2.843177863021864E-03, -2.163469961573823E-05,  1.152609739846787E-01,  1.995681900225237E+01,  9.491146359955135E-05,
2451914.500000000, A.D. 2001-Jan-05 00:00:00.0000,  1.537861735055217E+01, -1.271809023399446E+01, -2.465087660181566E-01,  2.477578356472163E-03,  2.847941188685492E-03, -2.152961162881474E-05,  1.152664482601846E-01,  1.995776684367400E+01,  9.453280690957163E-05,
2451924.500000000, A.D. 2001-Jan-15 00:00:00.0000,  1.540336575055687E+01, -1.268958743081133E+01, -2.467235694306958E-01,  2.471775962414486E-03,  2.852686482258437E-03, -2.144391426014910E-05,  1.152719060773384E-01,  1.995871183542029E+01,  9.417167840092008E-05,
2451934.500000000, A.D. 2001-Jan-25 00:00:00.0000,  1.542805666954215E+01, -1.266103729177078E+01, -2.469370416882091E-01,  2.466273949170924E-03,  2.857357753397548E-03, -2.132555279998044E-05,  1.152773458307134E-01,  1.995965369952024E+01,  9.408816785702717E-05,
2451944.500000000, A.D. 2001-Feb-04 00:00:00.0000,  1.545269001177248E+01, -1.263244002319204E+01, -2.471498637160705E-01,  2.460551160504824E-03,  2.862061098505064E-03, -2.123059407875696E-05,  1.152827678385259E-01,  1.996059249107130E+01,  9.381316266451295E-05,
2451954.500000000, A.D. 2001-Feb-14 00:00:00.0000,  1.547726594991136E+01, -1.260379579182486E+01, -2.473620201676034E-01,  2.454734020267843E-03,  2.866771540326721E-03, -2.113387180355944E-05,  1.152881734221242E-01,  1.996152843885781E+01,  9.345957223791218E-05,
2451964.500000000, A.D. 2001-Feb-24 00:00:00.0000,  1.550178453547166E+01, -1.257510468708370E+01, -2.475731355393053E-01,  2.448937577788404E-03,  2.871433229112049E-03, -2.126138405211047E-05,  1.152935630562501E-01,  1.996246162507880E+01,  9.315449146914669E-05,
2451974.500000000, A.D. 2001-Mar-06 00:00:00.0000,  1.552624502995347E+01, -1.254636667753906E+01, -2.477831955138372E-01,  2.443142466039210E-03,  2.876121600874295E-03, -2.110270300927714E-05,  1.152989332573772E-01,  1.996339144658032E+01,  9.282897934424184E-05,
2451984.500000000, A.D. 2001-Mar-16 00:00:00.0000,  1.555064749185883E+01, -1.251758193871830E+01, -2.479924142606940E-01,  2.437405454380301E-03,  2.880795637319424E-03, -2.086176249056149E-05,  1.153042848788585E-01,  1.996431805111592E+01,  9.255568515131337E-05,
2451994.500000000, A.D. 2001-Mar-26 00:00:00.0000,  1.557499229731176E+01, -1.248875069954485E+01, -2.482009060733031E-01,  2.431488256533105E-03,  2.885478966555389E-03, -2.073939450598867E-05,  1.153096203913465E-01,  1.996524186646579E+01,  9.213667198362663E-05,
2452004.500000000, A.D. 2001-Apr-05 00:00:00.0000,  1.559927933642915E+01, -1.245987298833690E+01, -2.484081043299055E-01,  2.425824178905849E-03,  2.890086797821319E-03, -2.066477179525079E-05,  1.153149393078194E-01,  1.996616280830471E+01,  9.196197968082355E-05,
2452014.500000000, A.D. 2001-Apr-15 00:00:00.0000,  1.562350825616452E+01, -1.243094889758413E+01, -2.486142740604239E-01,  2.420151202630810E-03,  2.894672743109167E-03, -2.067063933134578E-05,  1.153202403335945E-01,  1.996708065246534E+01,  9.179420860478359E-05,
2452024.500000000, A.D. 2001-Apr-25 00:00:00.0000,  1.564767881080683E+01, -1.240197857012713E+01, -2.488198727647686E-01,  2.414274731199358E-03,  2.899317473157108E-03, -2.047795795289570E-05,  1.153255228463389E-01,  1.996799529119406E+01,  9.142719041317007E-05,
2452034.500000000, A.D. 2001-May-05 00:00:00.0000,  1.567179142419788E+01, -1.237296220250972E+01, -2.490247038686504E-01,  2.408355702161356E-03,  2.903930942808205E-03, -2.048073691310923E-05,  1.153307893970244E-01,  1.996890716617796E+01,  9.104757910890076E-05,
2452044.500000000, A.D. 2001-May-15 00:00:00.0000,  1.569584575711009E+01, -1.234389980527236E+01, -2.492284353857342E-01,  2.402413711110794E-03,  2.908543288154372E-03, -2.043393742524882E-05,  1.153360384084035E-01,  1.996981600432509E+01,  9.064884944096036E-05,
2452054.500000000, A.D. 2001-May-25 00:00:00.0000,  1.571984137345945E+01, -1.231479140088725E+01, -2.494309553227503E-01,  2.396713780143399E-03,  2.913117568330135E-03, -2.018788428039628E-05,  1.153412679164491E-01,  1.997072146557472E+01,  9.046046471426666E-05,
2452064.500000000, A.D. 2001-Jun-04 00:00:00.0000,  1.574377850305218E+01, -1.228563724821042E+01, -2.496328078994152E-01,  2.390833255430009E-03,  2.917708646680839E-03, -2.001018622122449E-05,  1.153464798683346E-01,  1.997162388706945E+01,  9.011958122603033E-05,
2452074.500000000, A.D. 2001-Jun-14 00:00:00.0000,  1.576765735929671E+01, -1.225643749446792E+01, -2.498337710816134E-01,  2.384957372549285E-03,  2.922277456426448E-03, -1.988494444749903E-05,  1.153516756876635E-01,  1.997252351529860E+01,  8.979574413756701E-05,
2452084.500000000, A.D. 2001-Jun-24 00:00:00.0000,  1.579147784843898E+01, -1.222719220847336E+01, -2.500335384879031E-01,  2.379204763624311E-03,  2.926773493125250E-03, -1.999540580941431E-05,  1.153568551174870E-01,  1.997342030577285E+01,  8.961593784300858E-05,
2452094.500000000, A.D. 2001-Jul-04 00:00:00.0000,  1.581523928764617E+01, -1.219790142428744E+01, -2.502324689946710E-01,  2.373309420321377E-03,  2.931319351445017E-03, -1.987913488913771E-05,  1.153620151324102E-01,  1.997431373466132E+01,  8.928898998341040E-05,
